code;name;sitecode;lat;lon;start;stop;teff;lm;f;lyr
FLEGT;Gunther  Fleerackers;9573;50.7667;4.7167;2007-04-20 20:23:00;2007-04-20 21:43:00;1.3300;5.100;1.000;2
FREST;STELA FRENCHEVA;89665;50.5000;14.0167;2007-04-21 22:20:00;2007-04-21 23:25:00;1.0800;6.080;1.000;4
FREST;STELA FRENCHEVA;89665;50.5000;14.0167;2007-04-21 23:34:00;2007-04-22 00:15:00;0.6800;6.220;1.000;6
FREST;STELA FRENCHEVA;89665;50.5000;14.0167;2007-04-22 00:37:00;2007-04-22 01:27:00;0.8300;6.310;1.000;10
FREST;STELA FRENCHEVA;89665;50.5000;14.0167;2007-04-22 01:27:00;2007-04-22 02:15:00;0.8000;6.090;1.000;1
FREST;STELA FRENCHEVA;13082;52.5000;14.0167;2007-04-22 22:07:00;2007-04-22 22:49:00;0.7000;5.730;1.000;6
GOVMI;MITJA GOVEDIC;65711;46.3978;16.2661;2007-04-20 22:25:00;2007-04-20 23:00:00;0.5800;6.180;1.460;0
GOVMI;MITJA GOVEDIC;65711;46.3978;16.2661;2007-04-21 00:00:00;2007-04-21 01:01:00;1.0000;6.410;1.050;3
GOVMI;MITJA GOVEDIC;78855;46.3978;16.2661;2007-04-21 22:57:00;2007-04-21 23:55:00;0.9500;6.320;1.110;7
GOVMI;MITJA GOVEDIC;78855;46.3978;16.2661;2007-04-21 23:55:00;2007-04-22 00:51:00;0.8800;6.490;1.250;3
GOVMI;MITJA GOVEDIC;78855;46.3978;16.2661;2007-04-22 00:51:00;2007-04-22 01:30:00;0.6500;6.410;1.050;3
GOVMI;MITJA GOVEDIC;78855;46.3978;16.2661;2007-04-22 01:47:00;2007-04-22 02:47:00;1.0000;6.170;1.050;8
GOVMI;MITJA GOVEDIC;93359;46.3978;16.2661;2007-04-22 23:00:00;2007-04-22 23:59:00;0.9800;6.490;1.050;21
GOVMI;MITJA GOVEDIC;93359;46.3978;16.2661;2007-04-22 23:59:00;2007-04-23 00:58:00;0.9800;6.590;1.050;16
GOVMI;MITJA GOVEDIC;93359;46.3978;16.2661;2007-04-23 00:58:00;2007-04-23 02:02:00;1.0300;6.690;1.050;17
GOVMI;MITJA GOVEDIC;93359;46.3978;16.2661;2007-04-23 02:02:00;2007-04-23 02:56:00;0.9000;6.040;1.050;11
HABPA;PAVOL HABUDA;23609;49.9106;14.7836;2007-04-22 21:30:00;2007-04-22 22:15:00;0.7500;5.820;1.020;6
HABPA;PAVOL HABUDA;23609;49.9106;14.7836;2007-04-23 01:09:00;2007-04-23 01:34:00;0.4200;6.100;1.000;3
HALWA;WAYNE T. HALLY;25186;40.6811;-74.8983;2007-04-21 06:40:00;2007-04-21 08:33:00;1.8200;5.350;1.000;1
HALWA;WAYNE T. HALLY;25186;40.6811;-74.8983;2007-04-22 06:15:00;2007-04-22 07:34:00;1.2800;5.580;1.000;1
HALWA;WAYNE T. HALLY;25186;40.6811;-74.8983;2007-04-22 07:34:00;2007-04-22 08:53:00;1.3000;5.620;1.000;5
HALWA;WAYNE T. HALLY;25186;40.6811;-74.8983;2007-04-23 04:23:00;2007-04-23 05:23:00;0.9700;5.350;1.000;2
HALWA;WAYNE T. HALLY;25186;40.6811;-74.8983;2007-04-23 05:23:00;2007-04-23 05:53:00;0.5000;5.550;1.000;5
HALWA;WAYNE T. HALLY;25186;40.6811;-74.8983;2007-04-23 05:53:00;2007-04-23 06:23:00;0.4170;5.600;1.000;6
HALWA;WAYNE T. HALLY;25186;40.6811;-74.8983;2007-04-23 06:23:00;2007-04-23 06:53:00;0.4830;5.700;1.000;3
HALWA;WAYNE T. HALLY;25186;40.6811;-74.8983;2007-04-23 06:53:00;2007-04-23 07:23:00;0.4630;5.600;1.000;5
HALWA;WAYNE T. HALLY;25186;40.6811;-74.8983;2007-04-23 07:23:00;2007-04-23 08:08:00;0.7170;5.670;1.000;5
HALWA;WAYNE T. HALLY;25186;40.6811;-74.8983;2007-04-23 08:08:00;2007-04-23 08:53:00;0.7500;5.550;1.000;2
HARJS;JOOST HARTMAN;28278;51.7044;5.4878;2007-04-22 20:45:00;2007-04-22 21:00:00;0.2500;5.000;1.000;1
HARJS;JOOST HARTMAN;28278;51.7044;5.4878;2007-04-22 21:00:00;2007-04-22 21:20:00;0.3300;4.800;1.000;1
HARJS;JOOST HARTMAN;28278;51.7044;5.4878;2007-04-22 21:20:00;2007-04-22 21:30:00;0.1600;5.300;1.000;0
HARJS;JOOST HARTMAN;28278;51.7044;5.4878;2007-04-22 21:30:00;2007-04-22 21:50:00;0.3300;5.300;1.000;0
HARJS;JOOST HARTMAN;28278;51.7044;5.4878;2007-04-22 21:50:00;2007-04-22 22:05:00;0.2500;5.300;1.000;0
HARJS;JOOST HARTMAN;28278;51.7044;5.4878;2007-04-22 22:05:00;2007-04-22 22:20:00;0.2500;5.300;1.000;1
HARJS;JOOST HARTMAN;28278;51.7044;5.4878;2007-04-22 22:20:00;2007-04-22 22:35:00;0.2500;5.300;1.000;0
HARJS;JOOST HARTMAN;28278;51.7044;5.4878;2007-04-22 22:35:00;2007-04-22 22:50:00;0.2500;5.300;1.000;1
